NumA,Silver_thickness_nm,Gold_thickness_nm,Copper_thickness_nm,Aluminum_thickness_nm,Graphene_layers,Sensing_length_mm,n_sens,Resonance_lambda_nm,FWHM_nm,Sensitivity_nm_per_RIU
0.2,38,35,40,37,2,5,1.33,614.72,40.13,10033.44
0.2,38,36,40,41,2,6,1.33,616.72,40.13,9832.78
0.2,38,42,37,36,3,6,1.34,717.06,40.13,10033.44
0.2,35,38,39,38,1,8,1.35,815.38,40.13,10033.44
0.2,37,39,37,38,3,5,1.36,915.72,38.13,9983.28
0.2,38,37,40,36,1,8,1.35,815.38,38.13,9966.56
0.2,38,38,40,39,3,7,1.33,616.72,40.13,9832.78
0.2,40,41,39,41,3,5,1.35,821.4,40.13,10033.44
0.2,35,37,42,37,5,6,1.36,915.72,38.13,9983.28
0.2,42,39,39,42,1,6,1.34,721.07,38.13,10033.44
0.2,41,37,35,41,3,6,1.33,616.72,38.13,10033.44
0.2,37,37,38,42,5,5,1.35,817.39,38.13,10033.44
0.2,36,40,35,37,3,6,1.34,713.04,40.13,9933.11
0.2,35,41,37,41,3,6,1.35,817.39,38.13,10033.44
0.2,35,40,38,38,2,8,1.35,815.38,38.13,9966.56
0.2,35,37,42,40,5,5,1.35,817.39,38.13,10033.44
0.2,41,37,39,38,1,8,1.36,917.73,38.13,9983.28
0.2,37,36,35,40,3,7,1.36,913.71,40.13,9983.28
0.2,35,36,35,37,4,5,1.34,711.04,40.13,9933.11
0.2,35,37,35,35,5,7,1.35,811.37,40.13,10033.44
0.2,40,35,38,42,4,7,1.36,917.73,38.13,9983.28
0.2,42,41,37,38,2,6,1.33,618.73,38.13,10033.44
0.2,35,35,35,42,3,8,1.36,913.71,40.13,9983.28
0.2,36,35,40,41,3,5,1.36,915.72,38.13,9983.28
0.2,37,38,39,41,5,7,1.36,917.73,38.13,9983.28
0.2,42,41,38,35,1,7,1.35,817.39,40.13,9966.56
0.2,35,40,39,42,5,7,1.35,817.39,40.13,9966.56
0.2,36,35,40,38,2,6,1.33,614.72,40.13,10033.44
0.2,36,37,36,35,5,6,1.34,711.04,40.13,9933.11
0.2,36,41,40,38,5,5,1.36,917.73,38.13,9983.28
0.2,37,40,38,42,5,8,1.36,917.73,40.13,9983.28
0.2,37,35,39,39,3,5,1.35,815.38,40.13,10033.44
0.2,39,41,39,36,4,5,1.36,917.73,38.13,9983.28
0.2,42,39,35,37,4,8,1.35,817.39,40.13,10033.44
0.2,41,36,38,42,4,7,1.34,719.06,38.13,10033.44
0.2,37,39,38,39,2,6,1.36,915.72,40.13,9983.28
0.2,38,40,42,35,5,7,1.35,817.39,38.13,9966.56
0.2,36,39,40,35,3,5,1.34,715.05,38.13,10033.44
0.2,38,35,40,41,2,7,1.33,616.72,38.13,10033.44
0.2,42,39,40,39,1,5,1.33,620.74,38.13,10033.44
0.2,37,37,36,37,1,6,1.36,913.71,40.13,9983.28
0.2,40,35,35,40,5,8,1.34,715.05,38.13,10033.44
0.2,41,37,41,39,1,8,1.34,719.06,38.13,10033.44
0.2,36,38,38,37,5,6,1.33,614.72,40.13,10033.44
0.2,39,39,36,38,2,6,1.34,715.05,40.13,9933.11
0.2,42,35,39,42,1,7,1.33,618.73,38.13,10033.44
0.2,40,35,39,35,3,7,1.35,815.38,40.13,10033.44
0.2,41,41,35,37,5,8,1.34,717.06,38.13,10033.44
0.2,42,36,37,35,5,8,1.34,715.05,38.13,10033.44
0.2,38,38,40,38,1,6,1.33,616.72,38.13,10033.44
0.2,40,38,38,38,1,6,1.36,917.73,40.13,10033.44
0.2,37,37,41,41,2,6,1.36,917.73,38.13,9983.28
0.2,38,42,42,36,2,5,1.33,618.73,38.13,10033.44
0.2,39,35,42,42,3,5,1.33,618.73,38.13,10033.44
0.2,38,40,42,36,2,7,1.34,717.06,40.13,9933.11
0.2,39,40,42,36,5,6,1.35,819.4,40.13,10033.44
0.2,36,38,39,38,5,5,1.35,815.38,38.13,9966.56
0.2,36,38,40,40,1,7,1.34,717.06,38.13,10033.44
0.2,41,36,39,39,5,5,1.33,616.72,40.13,9832.78
0.2,38,39,37,37,5,7,1.36,915.72,38.13,9983.28
0.2,41,36,40,37,4,6,1.35,817.39,38.13,10033.44
0.2,40,39,38,42,1,5,1.33,618.73,40.13,9832.78
0.2,35,41,40,41,1,5,1.33,618.73,38.13,10033.44
0.2,42,36,38,41,2,8,1.35,819.4,40.13,10033.44
0.2,41,40,42,39,5,8,1.34,721.07,38.13,10033.44
0.2,39,40,40,38,1,5,1.36,917.73,40.13,9983.28
0.2,39,41,35,40,1,5,1.36,917.73,38.13,9983.28
0.2,41,41,41,37,3,6,1.36,919.73,38.13,9983.28
0.2,37,40,35,36,5,7,1.36,913.71,40.13,9983.28
0.2,37,38,40,38,4,5,1.36,915.72,40.13,9983.28
0.2,38,36,37,35,3,5,1.34,713.04,42.14,10033.44
0.2,39,37,39,41,4,5,1.36,917.73,38.13,9983.28
0.2,35,41,39,35,5,6,1.34,715.05,38.13,10033.44
0.2,36,37,40,40,3,7,1.33,616.72,38.13,10033.44
0.2,40,36,38,36,5,7,1.34,715.05,38.13,10033.44
0.2,35,37,36,39,4,6,1.34,713.04,40.13,9933.11
0.2,35,40,36,40,3,6,1.34,715.05,40.13,9933.11
0.2,41,38,38,38,1,8,1.34,717.06,38.13,9933.11
0.2,42,41,42,36,2,8,1.36,919.73,38.13,9983.28
